,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
1444,86 ST-2 AVE,1/5/2017,12:00:00,36596331,3079
1445,86 ST-2 AVE,1/5/2017,16:00:00,36645938,3281
1446,86 ST-2 AVE,1/5/2017,20:00:00,36650653,4715
1447,86 ST-2 AVE,1/6/2017,0:00:00,36651748,1095
1448,86 ST-2 AVE,1/6/2017,4:00:00,36651748,0
1449,86 ST-2 AVE,1/6/2017,8:00:00,36653546,1798
1450,86 ST-2 AVE,1/6/2017,12:00:00,36603225,3118
1451,86 ST-2 AVE,1/6/2017,16:00:00,36664880,3508
1452,86 ST-2 AVE,1/6/2017,20:00:00,36616306,2544
1453,86 ST-2 AVE,1/7/2017,0:00:00,36671794,1603
1454,86 ST-2 AVE,1/7/2017,4:00:00,36671796,2
1455,86 ST-2 AVE,1/7/2017,8:00:00,36672001,205
1456,86 ST-2 AVE,1/7/2017,12:00:00,36638273,1774
1457,86 ST-2 AVE,1/7/2017,16:00:00,36658280,5180
1458,86 ST-2 AVE,1/7/2017,20:00:00,36623787,2788
1459,86 ST-2 AVE,1/8/2017,0:00:00,36687161,1574
1460,86 ST-2 AVE,1/8/2017,4:00:00,36687163,2
1461,86 ST-2 AVE,1/8/2017,8:00:00,36687317,154
1462,86 ST-2 AVE,1/8/2017,12:00:00,36689782,2465
1463,86 ST-2 AVE,1/8/2017,16:00:00,36649045,3335
1464,86 ST-2 AVE,1/8/2017,20:00:00,36698728,3749
1465,86 ST-2 AVE,1/9/2017,0:00:00,36699654,926
1466,86 ST-2 AVE,1/9/2017,4:00:00,36699656,2
1467,86 ST-2 AVE,1/9/2017,8:00:00,36701848,2192
1468,86 ST-2 AVE,1/9/2017,12:00:00,36621867,3461
1469,86 ST-2 AVE,1/9/2017,16:00:00,36712831,2723
1470,86 ST-2 AVE,1/9/2017,20:00:00,36687781,3113
1471,86 ST-2 AVE,1/10/2017,0:00:00,36718565,1497
1472,86 ST-2 AVE,1/10/2017,4:00:00,36718678,113
1473,86 ST-2 AVE,1/10/2017,8:00:00,36720863,2185
1474,86 ST-2 AVE,1/10/2017,12:00:00,36629112,3401
1475,86 ST-2 AVE,1/10/2017,16:00:00,36732385,3075
1476,86 ST-2 AVE,1/10/2017,20:00:00,36736996,4611
1477,86 ST-2 AVE,1/11/2017,0:00:00,36738642,1646
1478,86 ST-2 AVE,1/11/2017,4:00:00,36738762,120
1479,86 ST-2 AVE,1/11/2017,8:00:00,36740994,2232
1480,86 ST-2 AVE,1/11/2017,12:00:00,36620911,2492
1481,86 ST-2 AVE,1/11/2017,16:00:00,36752394,3011
1482,86 ST-2 AVE,1/11/2017,20:00:00,36719945,3878
1483,86 ST-2 AVE,1/12/2017,0:00:00,36758997,1840
